index,timestamp_year_mouth_day
2018083100,24825
2018083101,10753
2018083102,6107
2018083103,4437
2018083104,4541
2018083105,6842
2018083106,18686
2018083107,33540
2018083108,38760
2018083109,45255
2018083110,54091
2018083111,54647
2018083112,50600
2018083113,61176
2018083114,67365
2018083115,67495
2018083116,67023
2018083117,61485
2018083118,59990
2018083119,79962
2018083120,104276
2018083121,113379
2018083122,98392
2018083123,61930
2018090100,30646
2018090101,13827
2018090102,7257
2018090103,5412
2018090104,5302
2018090105,7447
2018090106,20752
2018090107,40714
2018090108,47866
2018090109,53958
2018090110,65448
2018090111,63125
2018090112,58963
2018090113,69657
2018090114,74937
2018090115,76951
2018090116,75145
2018090117,65235
2018090118,63897
2018090119,89592
2018090120,115939
2018090121,126690
2018090122,103916
2018090123,58021
2018090200,28585
2018090201,12801
2018090202,7588
2018090203,5794
2018090204,5294
2018090205,7706
2018090206,19802
2018090207,34657
2018090208,47230
2018090209,60038
2018090210,71864
2018090211,66779
2018090212,69164
2018090213,77120
2018090214,75572
2018090215,73010
2018090216,64182
2018090217,54071
2018090218,57947
2018090219,82599
2018090220,102648
2018090221,113113
2018090222,95984
2018090223,55928
2018090300,26816
2018090301,12021
2018090302,7246
2018090303,5460
2018090304,5313
2018090305,7961
2018090306,19738
2018090307,33515
2018090308,47068
2018090309,59712
2018090310,69955
2018090311,64239
2018090312,66467
2018090313,75329
2018090314,73173
2018090315,69906
2018090316,61093
2018090317,51410
2018090318,52538
2018090319,74141
2018090320,96747
2018090321,107635
2018090322,94325
2018090323,55020
2018090400,26812
2018090401,11836
2018090402,6985
2018090403,5349
2018090404,5085
2018090405,7203
2018090406,18040
2018090407,31768
2018090408,41622
2018090409,53518
2018090410,62396
2018090411,58717
2018090412,59831
2018090413,67330
2018090414,66021
2018090415,65538
2018090416,58113
2018090417,50180
2018090418,50563
2018090419,70011
2018090420,91919
2018090421,103995
2018090422,90633
2018090423,54176
2018090500,25957
2018090501,11546
2018090502,6549
2018090503,5497
2018090504,4945
2018090505,7662
2018090506,18083
2018090507,30013
2018090508,41457
2018090509,52866
2018090510,63899
2018090511,60088
2018090512,61779
2018090513,70362
2018090514,69708
2018090515,67477
2018090516,59423
2018090517,49972
2018090518,52414
2018090519,74394
2018090520,97287
2018090521,109942
2018090522,98825
2018090523,60074
2018090600,28813
2018090601,12988
2018090602,7749
2018090603,5801
2018090604,5692
2018090605,8483
2018090606,21230
2018090607,34736
2018090608,50575
2018090609,66615
2018090610,79817
2018090611,75730
2018090612,78254
2018090613,89347
2018090614,89363
2018090615,90094
2018090616,84107
2018090617,77445
2018090618,87657
2018090619,126378
2018090620,171831
2018090621,211086
2018090622,230139
2018090623,200513
2018090700,176798
2018090701,96070
2018090702,43315
2018090703,25404
2018090704,19158
2018090705,24391
2018090706,55359
2018090707,106500
2018090708,125187
2018090709,135256
2018090710,142795
2018090711,126942
